,Marque,Référence annonce,Nom,Modèle,Prix,Année,Contrôle technique,Énergie,Boîte de vitesse,Couleur extérieure,Couleur intérieure,Nombre de portes,Nombre de places,Première main (déclaratif),Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Norme Euro,Éligible prime à la conversion,Kilométrage compteur km,Garantie,Nombre de propriétaires,Garantie constructeur,Vérifié & Garanti,Provenance
3,Fiat,W101713834,FIAT 500 II (2) 1.2 8V 69 STAR DUALOGIC,500 (2E GENERATION),14250,2020,non requis,Essence,automatique,gris metal,cuir/tissu noir,3,4,oui,4 CV,69 ch,1,120 g/kmB,EURO6,Non,500,23 mois,1,en cours,,
4,Fiat,E106278668,FIAT 500 L 1.6 MULTIJET 105 S/S PETIT BATEAU,500 L,8990,2015,non requis,Diesel,mécanique,blanc,,5,5,non,5 CV,105 ch,2,117 g/kmB,EURO5,Non,90900,,,,,
5,Fiat,W101713902,FIAT 500 II (2) 1.2 8V 69 STAR DUALOGIC,500 (2E GENERATION),14250,2020,non requis,Essence,automatique,bordeaux metal,cuir/tissu noir,3,4,oui,4 CV,69 ch,1,120 g/kmB,EURO6,Non,10,23 mois,1,en cours,,
6,Fiat,W101710813,FIAT 500 X (2) 1.0 FIREFLY T T3 120 LOUNGE,500 X,19990,2020,non requis,Essence,mécanique,bleu metal,tissu noir,5,5,oui,6 CV,120 ch,1,125 g/kmC,EURO6,Non,20,24 mois,,en cours,,
7,Fiat,E106188163,FIAT 500 X 1.6 MULTIJET 120 POP 4X2,500 X,10900,2015,non requis,Diesel,mécanique,gris,,5,5,non,6 CV,120 ch,2,109 g/kmB,EURO6,Non,96000,6 mois,,,,
8,Fiat,W101680675,FIAT 500 X 1.6 MULTIJET 120 LOUNGE 4X2,500 X,14690,2017,non requis,Diesel,mécanique,gris clair metal,cuir/tissu noir,5,5,non,6 CV,120 ch,2,109 g/kmB,EURO6,Non,51500,12 mois,2,,,
9,Fiat,W101710836,FIAT 500 X (2) 1.0 FIREFLY T T3 120 LOUNGE,500 X,19990,2020,non requis,Essence,mécanique,bleu metal,tissu noir,5,5,oui,6 CV,120 ch,1,125 g/kmC,EURO6,Non,19,24 mois,,en cours,,
10,Fiat,W101710754,FIAT 500 X (2) 1.0 FIREFLY T T3 120 LOUNGE,500 X,19990,2020,non requis,Essence,mécanique,noir metal,tissu noir,5,5,oui,6 CV,120 ch,1,125 g/kmC,EURO6,Non,17,24 mois,,en cours,,
11,Fiat,E106127853,FIAT DOBLO CARGO 1.4 120 CV PACK PRO,,9990,2015,non requis,Essence,mécanique,blanc,,4,2,non,5 CV, ch,1,,EURO6,Non,56500,,,,,
12,Fiat,W101712711,FIAT 500 X 1.4 MULTIAIR 140 CROSS PLUS 4X2 DCT,500 X,15750,2017,non requis,Essence,automatique,beige verni,cuir/tissu noir,5,5,oui,7 CV,140 ch,1,133 g/kmC,EURO6,Non,50617,3 mois,1,,,
13,Fiat,E106175100,FIAT 500 II (2) 0.9 8V 85 TWINAIR S/S SPORT,500 (2E GENERATION),14390,2019,non requis,Essence,mécanique,bleu,,3,4,non,4 CV,85 ch,1,107 g/kmB,EURO6,Oui,10,,,en cours,,
14,Fiat,W101645514,FIAT 500 II 1.2 8V 69 LOUNGE,500 (2E GENERATION),8900,2016,non requis,Essence,mécanique,violet metal,tissu gris,3,4,oui,4 CV,69 ch,1,115 g/kmB,EURO6,Oui,48000,6 mois,1,,,
15,Fiat,E105751939,FIAT TIPO II 1.4 95 5CV EASY 5P,TIPO 2,11980,2018,non requis,Essence,mécanique,Grigio Maest,,5,5,non,5 CV,95 ch,1,129 g/kmC,EURO6,Non,26414,12 mois,,en cours,Fiat Autoexpert ALTA,
16,Fiat,E106332860,FIAT TIPO II 1.4 95 LOUNGE 5P,TIPO 2,15980,2019,non requis,Essence,mécanique,GRIS,,5,5,non,6 CV,95 ch,1,138 g/kmC,EURO6,Non,1950,,,en cours,,
1,Fiat,E105751934,FIAT 500 II (2) 1.2 8V 69 LOUNGE,500 (2E GENERATION),10490,2018,non requis,Essence,mécanique,OPERA BORDEA,,3,4,non,4 CV,69 ch,1,116 g/kmB,EURO6,Oui,24433,12 mois,,,,
2,Fiat,E105947756,FIAT 500 L 1.4 16V 95 URBAN KIDS,500 L,9990,2016,non requis,Essence,mécanique,BLANC,,5,5,oui,6 CV,95 ch,1,143 g/kmD,EURO6,Non,77673,12 mois,,,CITROEN select,
3,Fiat,E105593045,FIAT TIPO II SW 1.6 MULTIJET 120 S/S BUSINESS DCT,TIPO 2 SW,13990,2018,non requis,Diesel,automatique,Gris Colosseo,,5,5,non,6 CV,120 ch,2,101 g/kmB,EURO6,Non,45688,12 mois,,,Fiat Autoexpert ALTA,
4,Fiat,E105032802,FIAT TIPO II SW 1.3 MULTIJET 95 S/S EASY BUSINESS,TIPO 2 SW,11490,2017,non requis,Diesel,mécanique,NOIR,NOIR,5,5,non,5 CV,95 ch,2,99 g/kmA,EURO6,Non,48160,12 mois,,,,
5,Fiat,E106233500,FIAT FREEMONT 2.0 16V MULTIJET 140 URBAN 4X2,FREEMONT,11990,2013,requis,Diesel,mécanique,noir,,5,7,non,8 CV,140 ch,2,169 g/kmE,EURO5,Non,83197,,,,,
6,Fiat,E105586693,FIAT 500 II (2) 1.2 8V 69 LOUNGE,500 (2E GENERATION),9490,2018,non requis,Essence,mécanique,Coloris Pastel Bossa Nova White,,3,4,non,4 CV,69 ch,1,115 g/kmB,EURO6,Oui,21928,12 mois,,en cours,Fiat Autoexpert ALTA,
7,Fiat,E106332825,FIAT 500 II (2) C 1.2 8V 69 STAR,500 C,16980,2019,non requis,Essence,mécanique,Bordeau,,2,4,oui,4 CV,69 ch,1,109 g/kmB,EURO6,Oui,4500,,,en cours,,
8,Fiat,E105935903,FIAT 500 II (2) 1.2 8V 69 STAR,500 (2E GENERATION),12480,2020,non requis,Essence,mécanique,blanc,,3,4,non,4 CV,69 ch,1,109 g/kmB,EURO6,Oui,10,,,en cours,,
9,Fiat,E105985464,FIAT 500 II (2) 1.2 8V 69 LOUNGE,500 (2E GENERATION),10700,2018,non requis,Essence,mécanique,INCONN,,3,4,non,4 CV,69 ch,1,116 g/kmB,EURO6,Oui,18900,,,en cours,,
